"Barcode","Genes"
"s_008um_00401_00407-1","CXCL14"
"s_008um_00521_00023-1","CXCL14"
"s_008um_00496_00471-1","CXCL14"
"s_008um_00541_00215-1","CXCL14"
"s_008um_00105_00764-1","CXCL14"
"s_008um_00512_00706-1","CXCL14"
"s_008um_00456_00078-1","CXCL14"
"s_008um_00226_00677-1","CXCL14"
"s_008um_00249_00753-1","CXCL14"
"s_008um_00261_00741-1","CXCL14"
"s_008um_00553_00052-1","CXCL14"
"s_008um_00261_00005-1","CXCL14"
"s_008um_00413_00671-1","CXCL14"
"s_008um_00612_00186-1","CXCL14"
"s_008um_00531_00773-1","CXCL14"
"s_008um_00339_00522-1","CXCL14"
"s_008um_00477_00033-1","CXCL14"
"s_008um_00495_00190-1","CXCL14"
"s_008um_00368_00719-1","CXCL14"
"s_008um_00365_00506-1","CXCL14"
"s_008um_00467_00641-1","CXCL14"
"s_008um_00487_00164-1","CXCL14"
"s_008um_00422_00750-1","CXCL14"
"s_008um_00517_00057-1","CXCL14"
"s_008um_00198_00649-1","CXCL14"
"s_008um_00662_00614-1","CXCL14"
"s_008um_00483_00085-1","CXCL14"
"s_008um_00180_00682-1","CXCL14"
"s_008um_00410_00151-1","CXCL14"
"s_008um_00388_00773-1","CXCL14"
"s_008um_00133_00789-1","CXCL14"
"s_008um_00480_00491-1","CXCL14"
"s_008um_00470_00027-1","CXCL14"
"s_008um_00175_00723-1","CXCL14"
"s_008um_00039_00613-1","CXCL14"
"s_008um_00333_00291-1","CXCL14"
"s_008um_00593_00099-1","CXCL14"
"s_008um_00627_00661-1","CXCL14"
"s_008um_00607_00406-1","CXCL14"
"s_008um_00226_00148-1","CXCL14"
"s_008um_00596_00166-1","CXCL14"
"s_008um_00678_00632-1","CXCL14"
"s_008um_00401_00493-1","CXCL14"
"s_008um_00403_00433-1","CXCL14"
"s_008um_00686_00566-1","CXCL14"
"s_008um_00297_00777-1","CXCL14"
"s_008um_00572_00666-1","CXCL14"
"s_008um_00481_00663-1","CXCL14"
"s_008um_00464_00334-1","CXCL14"
"s_008um_00505_00740-1","CXCL14"
"s_008um_00401_00682-1","CXCL14"
"s_008um_00382_00072-1","CXCL14"
"s_008um_00381_00746-1","CXCL14"
"s_008um_00481_00382-1","CXCL14"
"s_008um_00660_00433-1","CXCL14"
"s_008um_00130_00712-1","CXCL14"
"s_008um_00526_00632-1","CXCL14"
"s_008um_00335_00295-1","CXCL14"
"s_008um_00586_00409-1","CXCL14"
