"Barcode","Genes"
"s_008um_00244_00354-1","GREM1"
"s_008um_00383_00182-1","GREM1"
"s_008um_00429_00238-1","GREM1"
"s_008um_00356_00097-1","GREM1"
"s_008um_00367_00315-1","GREM1"
"s_008um_00162_00356-1","GREM1"
"s_008um_00250_00364-1","GREM1"
"s_008um_00319_00100-1","GREM1"
"s_008um_00178_00308-1","GREM1"
"s_008um_00044_00476-1","GREM1"
"s_008um_00416_00445-1","GREM1"
"s_008um_00241_00396-1","GREM1"
"s_008um_00379_00307-1","GREM1"
"s_008um_00397_00206-1","GREM1"
"s_008um_00219_00136-1","GREM1"
"s_008um_00213_00340-1","GREM1"
"s_008um_00197_00287-1","GREM1"
"s_008um_00398_00268-1","GREM1"
"s_008um_00006_00077-1","GREM1"
"s_008um_00403_00433-1","GREM1"
"s_008um_00275_00073-1","GREM1"
"s_008um_00231_00383-1","GREM1"
"s_008um_00399_00460-1","GREM1"
"s_008um_00346_00417-1","GREM1"
"s_008um_00172_00277-1","GREM1"
"s_008um_00116_00288-1","GREM1"
"s_008um_00190_00335-1","GREM1"
"s_008um_00294_00374-1","GREM1"
"s_008um_00116_00386-1","GREM1"
"s_008um_00345_00211-1","GREM1"
"s_008um_00190_00348-1","GREM1"
"s_008um_00209_00122-1","GREM1"
"s_008um_00390_00164-1","GREM1"
"s_008um_00406_00248-1","GREM1"
"s_008um_00421_00184-1","GREM1"
"s_008um_00405_00469-1","GREM1"
"s_008um_00402_00334-1","GREM1"
"s_008um_00327_00411-1","GREM1"
"s_008um_00068_00478-1","GREM1"
"s_008um_00593_00567-1","GREM1"
"s_008um_00223_00381-1","GREM1"
"s_008um_00177_00314-1","GREM1"
"s_008um_00390_00200-1","GREM1"
"s_008um_00512_00240-1","GREM1"
"s_008um_00452_00483-1","GREM1"
"s_008um_00135_00340-1","GREM1"
"s_008um_00298_00367-1","GREM1"
"s_008um_00274_00675-1","GREM1"
"s_008um_00370_00295-1","GREM1"
"s_008um_00153_00424-1","GREM1"
"s_008um_00163_00367-1","GREM1"
"s_008um_00036_00482-1","GREM1"
"s_008um_00330_00397-1","GREM1"
"s_008um_00521_00233-1","GREM1"
"s_008um_00374_00119-1","GREM1"
"s_008um_00179_00257-1","GREM1"
"s_008um_00344_00391-1","GREM1"
"s_008um_00162_00249-1","GREM1"
"s_008um_00102_00481-1","GREM1"
"s_008um_00102_00474-1","GREM1"
"s_008um_00284_00455-1","GREM1"
"s_008um_00381_00412-1","GREM1"
"s_008um_00242_00515-1","GREM1"
"s_008um_00273_00406-1","GREM1"
"s_008um_00385_00122-1","GREM1"
"s_008um_00376_00428-1","GREM1"
"s_008um_00441_00166-1","GREM1"
"s_008um_00173_00067-1","GREM1"
"s_008um_00200_00421-1","GREM1"
"s_008um_00151_00370-1","GREM1"
"s_008um_00438_00136-1","GREM1"
"s_008um_00440_00156-1","GREM1"
"s_008um_00419_00226-1","GREM1"
"s_008um_00407_00351-1","GREM1"
"s_008um_00348_00410-1","GREM1"
"s_008um_00106_00409-1","GREM1"
"s_008um_00143_00201-1","GREM1"
"s_008um_00330_00412-1","GREM1"
"s_008um_00132_00467-1","GREM1"
"s_008um_00348_00286-1","GREM1"
"s_008um_00499_00231-1","GREM1"
"s_008um_00262_00398-1","GREM1"
"s_008um_00162_00289-1","GREM1"
"s_008um_00283_00425-1","GREM1"
"s_008um_00346_00421-1","GREM1"
"s_008um_00095_00260-1","GREM1"
"s_008um_00394_00215-1","GREM1"
"s_008um_00247_00403-1","GREM1"
"s_008um_00223_00143-1","GREM1"
"s_008um_00063_00477-1","GREM1"
"s_008um_00308_00422-1","GREM1"
"s_008um_00383_00471-1","GREM1"
"s_008um_00367_00295-1","GREM1"
"s_008um_00365_00301-1","GREM1"
"s_008um_00305_00803-1","GREM1"
"s_008um_00166_00291-1","GREM1"
"s_008um_00417_00252-1","GREM1"
