"Barcode","Genes"
"s_008um_00286_00660-1","HTRA3"
"s_008um_00105_00764-1","HTRA3"
"s_008um_00456_00078-1","HTRA3"
"s_008um_00269_00108-1","HTRA3"
"s_008um_00220_00285-1","HTRA3"
"s_008um_00044_00476-1","HTRA3"
"s_008um_00233_00108-1","HTRA3"
"s_008um_00463_00497-1","HTRA3"
"s_008um_00456_00123-1","HTRA3"
"s_008um_00315_00153-1","HTRA3"
"s_008um_00654_00455-1","HTRA3"
"s_008um_00394_00480-1","HTRA3"
"s_008um_00223_00147-1","HTRA3"
"s_008um_00123_00229-1","HTRA3"
"s_008um_00664_00681-1","HTRA3"
"s_008um_00219_00136-1","HTRA3"
"s_008um_00241_00135-1","HTRA3"
"s_008um_00409_00290-1","HTRA3"
"s_008um_00640_00651-1","HTRA3"
"s_008um_00234_00051-1","HTRA3"
"s_008um_00596_00166-1","HTRA3"
"s_008um_00464_00334-1","HTRA3"
"s_008um_00401_00682-1","HTRA3"
"s_008um_00222_00698-1","HTRA3"
"s_008um_00130_00712-1","HTRA3"
"s_008um_00297_00097-1","HTRA3"
"s_008um_00526_00632-1","HTRA3"
"s_008um_00176_00657-1","HTRA3"
"s_008um_00214_00211-1","HTRA3"
"s_008um_00190_00348-1","HTRA3"
"s_008um_00304_00475-1","HTRA3"
"s_008um_00344_00203-1","HTRA3"
"s_008um_00260_00330-1","HTRA3"
"s_008um_00251_00316-1","HTRA3"
"s_008um_00000_00333-1","HTRA3"
"s_008um_00143_00646-1","HTRA3"
"s_008um_00691_00454-1","HTRA3"
"s_008um_00292_00152-1","HTRA3"
"s_008um_00375_00193-1","HTRA3"
"s_008um_00335_00284-1","HTRA3"
"s_008um_00240_00048-1","HTRA3"
"s_008um_00192_00289-1","HTRA3"
"s_008um_00375_00344-1","HTRA3"
"s_008um_00550_00754-1","HTRA3"
"s_008um_00273_00144-1","HTRA3"
"s_008um_00241_00085-1","HTRA3"
"s_008um_00456_00671-1","HTRA3"
"s_008um_00680_00774-1","HTRA3"
"s_008um_00322_00262-1","HTRA3"
"s_008um_00197_00768-1","HTRA3"
"s_008um_00210_00044-1","HTRA3"
"s_008um_00398_00012-1","HTRA3"
"s_008um_00200_00750-1","HTRA3"
"s_008um_00233_00100-1","HTRA3"
"s_008um_00622_00758-1","HTRA3"
"s_008um_00223_00112-1","HTRA3"
"s_008um_00329_00282-1","HTRA3"
"s_008um_00199_00022-1","HTRA3"
"s_008um_00350_00276-1","HTRA3"
"s_008um_00586_00404-1","HTRA3"
"s_008um_00358_00606-1","HTRA3"
"s_008um_00323_00102-1","HTRA3"
"s_008um_00341_00267-1","HTRA3"
"s_008um_00332_00354-1","HTRA3"
"s_008um_00483_00112-1","HTRA3"
"s_008um_00672_00614-1","HTRA3"
"s_008um_00468_00295-1","HTRA3"
"s_008um_00444_00318-1","HTRA3"
"s_008um_00377_00160-1","HTRA3"
"s_008um_00225_00047-1","HTRA3"
"s_008um_00220_00696-1","HTRA3"
"s_008um_00436_00645-1","HTRA3"
"s_008um_00700_00566-1","HTRA3"
"s_008um_00361_00375-1","HTRA3"
"s_008um_00412_00563-1","HTRA3"
"s_008um_00336_00124-1","HTRA3"
"s_008um_00319_00075-1","HTRA3"
"s_008um_00220_00695-1","HTRA3"
"s_008um_00273_00289-1","HTRA3"
"s_008um_00080_00378-1","HTRA3"
"s_008um_00141_00297-1","HTRA3"
"s_008um_00253_00316-1","HTRA3"
"s_008um_00669_00468-1","HTRA3"
"s_008um_00595_00166-1","HTRA3"
"s_008um_00706_00559-1","HTRA3"
"s_008um_00379_00151-1","HTRA3"
"s_008um_00646_00631-1","HTRA3"
"s_008um_00743_00500-1","HTRA3"
"s_008um_00410_00766-1","HTRA3"
"s_008um_00432_00372-1","HTRA3"
"s_008um_00482_00107-1","HTRA3"
"s_008um_00433_00119-1","HTRA3"
"s_008um_00342_00348-1","HTRA3"
"s_008um_00757_00503-1","HTRA3"
"s_008um_00633_00814-1","HTRA3"
"s_008um_00272_00141-1","HTRA3"
"s_008um_00138_00384-1","HTRA3"
"s_008um_00295_00101-1","HTRA3"
"s_008um_00618_00467-1","HTRA3"
"s_008um_00350_00328-1","HTRA3"
"s_008um_00057_00506-1","HTRA3"
"s_008um_00467_00168-1","HTRA3"
"s_008um_00081_00810-1","HTRA3"
"s_008um_00388_00697-1","HTRA3"
"s_008um_00400_00290-1","HTRA3"
"s_008um_00622_00180-1","HTRA3"
"s_008um_00628_00584-1","HTRA3"
"s_008um_00493_00126-1","HTRA3"
"s_008um_00272_00143-1","HTRA3"
"s_008um_00202_00651-1","HTRA3"
"s_008um_00330_00259-1","HTRA3"
"s_008um_00196_00351-1","HTRA3"
"s_008um_00258_00106-1","HTRA3"
"s_008um_00327_00122-1","HTRA3"
"s_008um_00441_00709-1","HTRA3"
"s_008um_00433_00281-1","HTRA3"
"s_008um_00700_00567-1","HTRA3"
"s_008um_00387_00548-1","HTRA3"
"s_008um_00599_00710-1","HTRA3"
"s_008um_00382_00184-1","HTRA3"
"s_008um_00015_00083-1","HTRA3"
"s_008um_00531_00209-1","HTRA3"
"s_008um_00345_00348-1","HTRA3"
"s_008um_00241_00317-1","HTRA3"
"s_008um_00372_00364-1","HTRA3"
"s_008um_00699_00508-1","HTRA3"
"s_008um_00517_00246-1","HTRA3"
"s_008um_00035_00781-1","HTRA3"
"s_008um_00627_00621-1","HTRA3"
"s_008um_00309_00105-1","HTRA3"
"s_008um_00223_00298-1","HTRA3"
"s_008um_00381_00070-1","HTRA3"
"s_008um_00348_00708-1","HTRA3"
"s_008um_00099_00361-1","HTRA3"
"s_008um_00381_00213-1","HTRA3"
"s_008um_00387_00431-1","HTRA3"
"s_008um_00231_00140-1","HTRA3"
"s_008um_00606_00683-1","HTRA3"
"s_008um_00318_00092-1","HTRA3"
"s_008um_00208_00047-1","HTRA3"
"s_008um_00236_00129-1","HTRA3"
"s_008um_00619_00240-1","HTRA3"
"s_008um_00205_00045-1","HTRA3"
"s_008um_00222_00125-1","HTRA3"
"s_008um_00374_00792-1","HTRA3"
"s_008um_00289_00705-1","HTRA3"
"s_008um_00058_00503-1","HTRA3"
"s_008um_00393_00202-1","HTRA3"
"s_008um_00376_00395-1","HTRA3"
"s_008um_00188_00031-1","HTRA3"
"s_008um_00159_00772-1","HTRA3"
"s_008um_00547_00709-1","HTRA3"
"s_008um_00457_00448-1","HTRA3"
"s_008um_00575_00114-1","HTRA3"
"s_008um_00317_00166-1","HTRA3"
"s_008um_00361_00235-1","HTRA3"
"s_008um_00260_00495-1","HTRA3"
"s_008um_00246_00130-1","HTRA3"
"s_008um_00407_00302-1","HTRA3"
"s_008um_00042_00481-1","HTRA3"
"s_008um_00628_00475-1","HTRA3"
"s_008um_00186_00146-1","HTRA3"
