"Barcode","Genes"
"s_008um_00301_00321-1","IGFBP3"
"s_008um_00401_00407-1","IGFBP3"
"s_008um_00345_00721-1","IGFBP3"
"s_008um_00113_00793-1","IGFBP3"
"s_008um_00211_00285-1","IGFBP3"
"s_008um_00367_00315-1","IGFBP3"
"s_008um_00431_00553-1","IGFBP3"
"s_008um_00252_00557-1","IGFBP3"
"s_008um_00706_00511-1","IGFBP3"
"s_008um_00319_00100-1","IGFBP3"
"s_008um_00271_00053-1","IGFBP3"
"s_008um_00202_00288-1","IGFBP3"
"s_008um_00233_00108-1","IGFBP3"
"s_008um_00495_00190-1","IGFBP3"
"s_008um_00344_00376-1","IGFBP3"
"s_008um_00207_00291-1","IGFBP3"
"s_008um_00047_00161-1","IGFBP3"
"s_008um_00446_00511-1","IGFBP3"
"s_008um_00654_00455-1","IGFBP3"
"s_008um_00427_00756-1","IGFBP3"
"s_008um_00439_00321-1","IGFBP3"
"s_008um_00302_00357-1","IGFBP3"
"s_008um_00431_00538-1","IGFBP3"
"s_008um_00411_00456-1","IGFBP3"
"s_008um_00197_00287-1","IGFBP3"
"s_008um_00280_00072-1","IGFBP3"
"s_008um_00398_00268-1","IGFBP3"
"s_008um_00361_00103-1","IGFBP3"
"s_008um_00006_00104-1","IGFBP3"
"s_008um_00333_00291-1","IGFBP3"
"s_008um_00186_00534-1","IGFBP3"
"s_008um_00234_00051-1","IGFBP3"
"s_008um_00226_00148-1","IGFBP3"
"s_008um_00408_00422-1","IGFBP3"
"s_008um_00584_00497-1","IGFBP3"
"s_008um_00204_00102-1","IGFBP3"
"s_008um_00399_00345-1","IGFBP3"
"s_008um_00704_00721-1","IGFBP3"
"s_008um_00374_00796-1","IGFBP3"
"s_008um_00337_00143-1","IGFBP3"
"s_008um_00137_00600-1","IGFBP3"
"s_008um_00389_00247-1","IGFBP3"
"s_008um_00380_00119-1","IGFBP3"
"s_008um_00172_00277-1","IGFBP3"
"s_008um_00626_00796-1","IGFBP3"
"s_008um_00294_00374-1","IGFBP3"
"s_008um_00345_00211-1","IGFBP3"
"s_008um_00422_00378-1","IGFBP3"
"s_008um_00202_00802-1","IGFBP3"
"s_008um_00241_00080-1","IGFBP3"
"s_008um_00214_00211-1","IGFBP3"
"s_008um_00203_00581-1","IGFBP3"
"s_008um_00352_00269-1","IGFBP3"
"s_008um_00209_00122-1","IGFBP3"
"s_008um_00390_00164-1","IGFBP3"
"s_008um_00220_00311-1","IGFBP3"
"s_008um_00702_00723-1","IGFBP3"
"s_008um_00184_00274-1","IGFBP3"
"s_008um_00611_00546-1","IGFBP3"
"s_008um_00406_00248-1","IGFBP3"
"s_008um_00260_00543-1","IGFBP3"
"s_008um_00372_00569-1","IGFBP3"
"s_008um_00381_00220-1","IGFBP3"
"s_008um_00219_00296-1","IGFBP3"
"s_008um_00324_00282-1","IGFBP3"
"s_008um_00346_00226-1","IGFBP3"
"s_008um_00289_00075-1","IGFBP3"
"s_008um_00724_00508-1","IGFBP3"
"s_008um_00382_00233-1","IGFBP3"
"s_008um_00375_00193-1","IGFBP3"
"s_008um_00264_00048-1","IGFBP3"
"s_008um_00298_00367-1","IGFBP3"
"s_008um_00202_00049-1","IGFBP3"
"s_008um_00390_00161-1","IGFBP3"
"s_008um_00370_00295-1","IGFBP3"
"s_008um_00210_00167-1","IGFBP3"
"s_008um_00224_00115-1","IGFBP3"
"s_008um_00374_00119-1","IGFBP3"
"s_008um_00379_00185-1","IGFBP3"
"s_008um_00241_00085-1","IGFBP3"
"s_008um_00456_00671-1","IGFBP3"
"s_008um_00680_00774-1","IGFBP3"
"s_008um_00393_00238-1","IGFBP3"
"s_008um_00259_00381-1","IGFBP3"
"s_008um_00629_00529-1","IGFBP3"
"s_008um_00362_00258-1","IGFBP3"
"s_008um_00162_00249-1","IGFBP3"
"s_008um_00368_00276-1","IGFBP3"
"s_008um_00210_00044-1","IGFBP3"
"s_008um_00441_00166-1","IGFBP3"
"s_008um_00182_00147-1","IGFBP3"
"s_008um_00372_00198-1","IGFBP3"
"s_008um_00270_00408-1","IGFBP3"
"s_008um_00370_00122-1","IGFBP3"
"s_008um_00366_00322-1","IGFBP3"
"s_008um_00373_00192-1","IGFBP3"
"s_008um_00407_00351-1","IGFBP3"
"s_008um_00341_00129-1","IGFBP3"
"s_008um_00294_00154-1","IGFBP3"
"s_008um_00350_00276-1","IGFBP3"
"s_008um_00586_00404-1","IGFBP3"
"s_008um_00346_00080-1","IGFBP3"
"s_008um_00351_00100-1","IGFBP3"
"s_008um_00505_00224-1","IGFBP3"
"s_008um_00453_00306-1","IGFBP3"
"s_008um_00231_00123-1","IGFBP3"
"s_008um_00347_00250-1","IGFBP3"
"s_008um_00720_00573-1","IGFBP3"
"s_008um_00348_00286-1","IGFBP3"
"s_008um_00370_00228-1","IGFBP3"
"s_008um_00262_00398-1","IGFBP3"
"s_008um_00346_00421-1","IGFBP3"
"s_008um_00388_00771-1","IGFBP3"
"s_008um_00140_00608-1","IGFBP3"
"s_008um_00234_00071-1","IGFBP3"
"s_008um_00408_00541-1","IGFBP3"
"s_008um_00420_00274-1","IGFBP3"
"s_008um_00212_00710-1","IGFBP3"
"s_008um_00132_00598-1","IGFBP3"
"s_008um_00399_00273-1","IGFBP3"
"s_008um_00690_00757-1","IGFBP3"
"s_008um_00371_00276-1","IGFBP3"
"s_008um_00015_00585-1","IGFBP3"
"s_008um_00365_00301-1","IGFBP3"
"s_008um_00142_00611-1","IGFBP3"
"s_008um_00161_00182-1","IGFBP3"
"s_008um_00436_00645-1","IGFBP3"
