"Barcode","Genes"
"s_008um_00371_00243-1","MGP"
"s_008um_00244_00354-1","MGP"
"s_008um_00285_00712-1","MGP"
"s_008um_00046_00472-1","MGP"
"s_008um_00113_00793-1","MGP"
"s_008um_00074_00109-1","MGP"
"s_008um_00069_00168-1","MGP"
"s_008um_00141_00404-1","MGP"
"s_008um_00133_00239-1","MGP"
"s_008um_00211_00285-1","MGP"
"s_008um_00162_00356-1","MGP"
"s_008um_00250_00364-1","MGP"
"s_008um_00371_00123-1","MGP"
"s_008um_00213_00344-1","MGP"
"s_008um_00086_00120-1","MGP"
"s_008um_00086_00319-1","MGP"
"s_008um_00194_00162-1","MGP"
"s_008um_00241_00396-1","MGP"
"s_008um_00684_00427-1","MGP"
"s_008um_00430_00130-1","MGP"
"s_008um_00243_00401-1","MGP"
"s_008um_00056_00406-1","MGP"
"s_008um_00349_00426-1","MGP"
"s_008um_00056_00464-1","MGP"
"s_008um_00439_00321-1","MGP"
"s_008um_00131_00139-1","MGP"
"s_008um_00600_00641-1","MGP"
"s_008um_00548_00703-1","MGP"
"s_008um_00012_00471-1","MGP"
"s_008um_00320_00752-1","MGP"
"s_008um_00657_00604-1","MGP"
"s_008um_00234_00015-1","MGP"
"s_008um_00213_00340-1","MGP"
"s_008um_00048_00042-1","MGP"
"s_008um_00159_00292-1","MGP"
"s_008um_00411_00456-1","MGP"
"s_008um_00563_00253-1","MGP"
"s_008um_00197_00287-1","MGP"
"s_008um_00280_00072-1","MGP"
"s_008um_00039_00613-1","MGP"
"s_008um_00361_00103-1","MGP"
"s_008um_00010_00177-1","MGP"
"s_008um_00146_00026-1","MGP"
"s_008um_00678_00632-1","MGP"
"s_008um_00455_00188-1","MGP"
"s_008um_00152_00459-1","MGP"
"s_008um_00447_00448-1","MGP"
"s_008um_00250_00257-1","MGP"
"s_008um_00398_00296-1","MGP"
"s_008um_00204_00102-1","MGP"
"s_008um_00704_00721-1","MGP"
"s_008um_00231_00383-1","MGP"
"s_008um_00106_00208-1","MGP"
"s_008um_00155_00078-1","MGP"
"s_008um_00437_00646-1","MGP"
"s_008um_00183_00068-1","MGP"
"s_008um_00020_00336-1","MGP"
"s_008um_00172_00277-1","MGP"
"s_008um_00116_00288-1","MGP"
"s_008um_00401_00682-1","MGP"
"s_008um_00296_00130-1","MGP"
"s_008um_00190_00335-1","MGP"
"s_008um_00232_00412-1","MGP"
"s_008um_00230_00477-1","MGP"
"s_008um_00116_00386-1","MGP"
"s_008um_00265_00801-1","MGP"
"s_008um_00424_00129-1","MGP"
