"Barcode","Genes"
"s_008um_00401_00407-1","MMP11"
"s_008um_00557_00030-1","MMP11"
"s_008um_00105_00764-1","MMP11"
"s_008um_00269_00108-1","MMP11"
"s_008um_00529_00784-1","MMP11"
"s_008um_00356_00097-1","MMP11"
"s_008um_00365_00010-1","MMP11"
"s_008um_00601_00101-1","MMP11"
"s_008um_00202_00288-1","MMP11"
"s_008um_00190_00220-1","MMP11"
"s_008um_00233_00108-1","MMP11"
"s_008um_00146_00695-1","MMP11"
"s_008um_00563_00458-1","MMP11"
"s_008um_00494_00167-1","MMP11"
"s_008um_00572_00401-1","MMP11"
"s_008um_00285_00117-1","MMP11"
"s_008um_00410_00151-1","MMP11"
"s_008um_00270_00092-1","MMP11"
"s_008um_00379_00373-1","MMP11"
"s_008um_00373_00752-1","MMP11"
"s_008um_00151_00630-1","MMP11"
"s_008um_00494_00107-1","MMP11"
"s_008um_00219_00136-1","MMP11"
"s_008um_00241_00135-1","MMP11"
"s_008um_00431_00253-1","MMP11"
"s_008um_00361_00103-1","MMP11"
"s_008um_00484_00559-1","MMP11"
"s_008um_00226_00148-1","MMP11"
"s_008um_00596_00166-1","MMP11"
"s_008um_00473_00367-1","MMP11"
"s_008um_00309_00287-1","MMP11"
"s_008um_00267_00229-1","MMP11"
"s_008um_00365_00336-1","MMP11"
"s_008um_00427_00441-1","MMP11"
"s_008um_00268_00082-1","MMP11"
"s_008um_00398_00296-1","MMP11"
"s_008um_00118_00637-1","MMP11"
"s_008um_00399_00345-1","MMP11"
"s_008um_00401_00682-1","MMP11"
"s_008um_00419_00297-1","MMP11"
"s_008um_00222_00698-1","MMP11"
"s_008um_00370_00581-1","MMP11"
"s_008um_00261_00755-1","MMP11"
"s_008um_00526_00632-1","MMP11"
"s_008um_00176_00657-1","MMP11"
"s_008um_00202_00802-1","MMP11"
"s_008um_00374_00406-1","MMP11"
"s_008um_00608_00536-1","MMP11"
"s_008um_00288_00192-1","MMP11"
"s_008um_00615_00505-1","MMP11"
"s_008um_00292_00039-1","MMP11"
"s_008um_00251_00316-1","MMP11"
"s_008um_00298_00062-1","MMP11"
"s_008um_00508_00050-1","MMP11"
"s_008um_00428_00057-1","MMP11"
"s_008um_00143_00646-1","MMP11"
"s_008um_00593_00567-1","MMP11"
"s_008um_00636_00796-1","MMP11"
"s_008um_00423_00265-1","MMP11"
"s_008um_00390_00200-1","MMP11"
"s_008um_00265_00767-1","MMP11"
"s_008um_00623_00799-1","MMP11"
"s_008um_00298_00367-1","MMP11"
"s_008um_00240_00048-1","MMP11"
"s_008um_00219_00788-1","MMP11"
"s_008um_00378_00371-1","MMP11"
"s_008um_00224_00115-1","MMP11"
"s_008um_00374_00119-1","MMP11"
"s_008um_00181_00705-1","MMP11"
"s_008um_00194_00204-1","MMP11"
"s_008um_00467_00648-1","MMP11"
"s_008um_00482_00409-1","MMP11"
"s_008um_00379_00185-1","MMP11"
"s_008um_00241_00085-1","MMP11"
"s_008um_00567_00019-1","MMP11"
"s_008um_00389_00417-1","MMP11"
"s_008um_00608_00256-1","MMP11"
"s_008um_00382_00586-1","MMP11"
"s_008um_00135_00739-1","MMP11"
"s_008um_00664_00516-1","MMP11"
"s_008um_00496_00597-1","MMP11"
"s_008um_00229_00262-1","MMP11"
"s_008um_00180_00194-1","MMP11"
"s_008um_00474_00473-1","MMP11"
"s_008um_00460_00651-1","MMP11"
"s_008um_00329_00825-1","MMP11"
"s_008um_00459_00420-1","MMP11"
"s_008um_00447_00632-1","MMP11"
"s_008um_00349_00065-1","MMP11"
"s_008um_00235_00711-1","MMP11"
"s_008um_00438_00136-1","MMP11"
"s_008um_00230_00128-1","MMP11"
"s_008um_00419_00226-1","MMP11"
"s_008um_00223_00112-1","MMP11"
"s_008um_00199_00659-1","MMP11"
"s_008um_00113_00806-1","MMP11"
"s_008um_00294_00154-1","MMP11"
"s_008um_00732_00526-1","MMP11"
"s_008um_00584_00287-1","MMP11"
"s_008um_00378_00566-1","MMP11"
"s_008um_00307_00411-1","MMP11"
"s_008um_00358_00378-1","MMP11"
"s_008um_00316_00385-1","MMP11"
"s_008um_00260_00117-1","MMP11"
"s_008um_00231_00123-1","MMP11"
"s_008um_00499_00480-1","MMP11"
"s_008um_00657_00650-1","MMP11"
"s_008um_00169_00462-1","MMP11"
"s_008um_00212_00710-1","MMP11"
"s_008um_00434_00549-1","MMP11"
