"Barcode","Genes"
"s_008um_00244_00354-1","SFRP4"
"s_008um_00383_00182-1","SFRP4"
"s_008um_00356_00097-1","SFRP4"
"s_008um_00331_00732-1","SFRP4"
"s_008um_00250_00364-1","SFRP4"
"s_008um_00371_00123-1","SFRP4"
"s_008um_00319_00100-1","SFRP4"
"s_008um_00202_00288-1","SFRP4"
"s_008um_00344_00376-1","SFRP4"
"s_008um_00323_00546-1","SFRP4"
"s_008um_00430_00130-1","SFRP4"
"s_008um_00397_00206-1","SFRP4"
"s_008um_00410_00151-1","SFRP4"
"s_008um_00219_00136-1","SFRP4"
"s_008um_00302_00357-1","SFRP4"
"s_008um_00241_00135-1","SFRP4"
"s_008um_00349_00342-1","SFRP4"
"s_008um_00280_00072-1","SFRP4"
"s_008um_00361_00103-1","SFRP4"
"s_008um_00010_00177-1","SFRP4"
"s_008um_00368_00289-1","SFRP4"
"s_008um_00543_00253-1","SFRP4"
"s_008um_00464_00190-1","SFRP4"
"s_008um_00365_00336-1","SFRP4"
"s_008um_00403_00433-1","SFRP4"
"s_008um_00398_00296-1","SFRP4"
"s_008um_00294_00365-1","SFRP4"
"s_008um_00383_00107-1","SFRP4"
"s_008um_00337_00143-1","SFRP4"
"s_008um_00439_00024-1","SFRP4"
"s_008um_00380_00119-1","SFRP4"
"s_008um_00172_00277-1","SFRP4"
"s_008um_00294_00374-1","SFRP4"
"s_008um_00362_00233-1","SFRP4"
"s_008um_00078_00458-1","SFRP4"
"s_008um_00345_00211-1","SFRP4"
"s_008um_00241_00080-1","SFRP4"
"s_008um_00374_00406-1","SFRP4"
"s_008um_00413_00439-1","SFRP4"
"s_008um_00394_00219-1","SFRP4"
"s_008um_00190_00348-1","SFRP4"
"s_008um_00209_00122-1","SFRP4"
"s_008um_00220_00311-1","SFRP4"
"s_008um_00374_00273-1","SFRP4"
"s_008um_00205_00115-1","SFRP4"
"s_008um_00333_00225-1","SFRP4"
"s_008um_00381_00220-1","SFRP4"
"s_008um_00213_00066-1","SFRP4"
"s_008um_00351_00375-1","SFRP4"
"s_008um_00346_00226-1","SFRP4"
"s_008um_00444_00250-1","SFRP4"
"s_008um_00177_00314-1","SFRP4"
"s_008um_00390_00200-1","SFRP4"
"s_008um_00360_00366-1","SFRP4"
"s_008um_00375_00193-1","SFRP4"
"s_008um_00264_00048-1","SFRP4"
"s_008um_00354_00374-1","SFRP4"
"s_008um_00298_00367-1","SFRP4"
"s_008um_00370_00295-1","SFRP4"
"s_008um_00192_00289-1","SFRP4"
"s_008um_00163_00367-1","SFRP4"
"s_008um_00224_00115-1","SFRP4"
"s_008um_00521_00233-1","SFRP4"
"s_008um_00336_00137-1","SFRP4"
"s_008um_00374_00119-1","SFRP4"
"s_008um_00408_00434-1","SFRP4"
"s_008um_00529_00126-1","SFRP4"
"s_008um_00393_00238-1","SFRP4"
"s_008um_00329_00374-1","SFRP4"
"s_008um_00362_00258-1","SFRP4"
"s_008um_00381_00412-1","SFRP4"
"s_008um_00368_00276-1","SFRP4"
"s_008um_00240_00417-1","SFRP4"
"s_008um_00385_00122-1","SFRP4"
"s_008um_00376_00428-1","SFRP4"
"s_008um_00372_00198-1","SFRP4"
"s_008um_00200_00421-1","SFRP4"
"s_008um_00151_00370-1","SFRP4"
"s_008um_00324_00381-1","SFRP4"
"s_008um_00347_00404-1","SFRP4"
"s_008um_00270_00408-1","SFRP4"
"s_008um_00370_00122-1","SFRP4"
"s_008um_00366_00322-1","SFRP4"
"s_008um_00438_00136-1","SFRP4"
"s_008um_00321_00262-1","SFRP4"
"s_008um_00419_00226-1","SFRP4"
"s_008um_00223_00112-1","SFRP4"
"s_008um_00407_00351-1","SFRP4"
"s_008um_00348_00410-1","SFRP4"
"s_008um_00346_00080-1","SFRP4"
"s_008um_00351_00100-1","SFRP4"
"s_008um_00316_00385-1","SFRP4"
"s_008um_00323_00102-1","SFRP4"
"s_008um_00453_00306-1","SFRP4"
"s_008um_00231_00123-1","SFRP4"
"s_008um_00414_00252-1","SFRP4"
"s_008um_00273_00044-1","SFRP4"
"s_008um_00358_00128-1","SFRP4"
"s_008um_00346_00421-1","SFRP4"
"s_008um_00234_00071-1","SFRP4"
"s_008um_00444_00318-1","SFRP4"
"s_008um_00199_00114-1","SFRP4"
"s_008um_00247_00403-1","SFRP4"
"s_008um_00438_00320-1","SFRP4"
"s_008um_00365_00301-1","SFRP4"
"s_008um_00409_00180-1","SFRP4"
"s_008um_00400_00188-1","SFRP4"
"s_008um_00170_00038-1","SFRP4"
"s_008um_00336_00124-1","SFRP4"
"s_008um_00058_00341-1","SFRP4"
"s_008um_00133_00362-1","SFRP4"
"s_008um_00267_00372-1","SFRP4"
"s_008um_00311_00359-1","SFRP4"
"s_008um_00396_00223-1","SFRP4"
"s_008um_00360_00384-1","SFRP4"
"s_008um_00365_00300-1","SFRP4"
"s_008um_00387_00083-1","SFRP4"
"s_008um_00438_00699-1","SFRP4"
"s_008um_00261_00384-1","SFRP4"
"s_008um_00263_00384-1","SFRP4"
"s_008um_00123_00163-1","SFRP4"
"s_008um_00191_00402-1","SFRP4"
"s_008um_00340_00369-1","SFRP4"
"s_008um_00423_00444-1","SFRP4"
"s_008um_00358_00195-1","SFRP4"
"s_008um_00231_00336-1","SFRP4"
"s_008um_00410_00438-1","SFRP4"
"s_008um_00259_00007-1","SFRP4"
"s_008um_00411_00560-1","SFRP4"
"s_008um_00359_00151-1","SFRP4"
"s_008um_00213_00137-1","SFRP4"
"s_008um_00350_00328-1","SFRP4"
"s_008um_00235_00135-1","SFRP4"
"s_008um_00353_00180-1","SFRP4"
"s_008um_00352_00182-1","SFRP4"
"s_008um_00386_00234-1","SFRP4"
"s_008um_00363_00214-1","SFRP4"
"s_008um_00420_00338-1","SFRP4"
"s_008um_00331_00082-1","SFRP4"
"s_008um_00379_00252-1","SFRP4"
"s_008um_00381_00399-1","SFRP4"
"s_008um_00187_00392-1","SFRP4"
"s_008um_00229_00322-1","SFRP4"
"s_008um_00293_00385-1","SFRP4"
"s_008um_00380_00219-1","SFRP4"
"s_008um_00355_00184-1","SFRP4"
"s_008um_00196_00351-1","SFRP4"
"s_008um_00384_00129-1","SFRP4"
