"Barcode","Genes"
"s_008um_00504_00410-1","TIMP3"
"s_008um_00551_00248-1","TIMP3"
"s_008um_00383_00515-1","TIMP3"
"s_008um_00244_00354-1","TIMP3"
"s_008um_00078_00679-1","TIMP3"
"s_008um_00397_00645-1","TIMP3"
"s_008um_00288_00105-1","TIMP3"
"s_008um_00226_00677-1","TIMP3"
"s_008um_00730_00677-1","TIMP3"
"s_008um_00383_00182-1","TIMP3"
"s_008um_00421_00722-1","TIMP3"
"s_008um_00367_00315-1","TIMP3"
"s_008um_00678_00719-1","TIMP3"
"s_008um_00146_00688-1","TIMP3"
"s_008um_00406_00448-1","TIMP3"
"s_008um_00593_00544-1","TIMP3"
"s_008um_00208_00030-1","TIMP3"
"s_008um_00310_00065-1","TIMP3"
"s_008um_00319_00100-1","TIMP3"
"s_008um_00194_00162-1","TIMP3"
"s_008um_00292_00063-1","TIMP3"
"s_008um_00220_00285-1","TIMP3"
"s_008um_00522_00244-1","TIMP3"
"s_008um_00511_00553-1","TIMP3"
"s_008um_00601_00101-1","TIMP3"
"s_008um_00470_00246-1","TIMP3"
"s_008um_00410_00607-1","TIMP3"
"s_008um_00339_00522-1","TIMP3"
"s_008um_00271_00053-1","TIMP3"
"s_008um_00202_00288-1","TIMP3"
"s_008um_00190_00220-1","TIMP3"
"s_008um_00477_00033-1","TIMP3"
"s_008um_00368_00719-1","TIMP3"
"s_008um_00315_00138-1","TIMP3"
"s_008um_00463_00497-1","TIMP3"
"s_008um_00467_00641-1","TIMP3"
"s_008um_00587_00015-1","TIMP3"
"s_008um_00207_00291-1","TIMP3"
"s_008um_00379_00307-1","TIMP3"
"s_008um_00397_00206-1","TIMP3"
"s_008um_00478_00354-1","TIMP3"
"s_008um_00587_00369-1","TIMP3"
"s_008um_00353_00221-1","TIMP3"
"s_008um_00410_00623-1","TIMP3"
"s_008um_00591_00281-1","TIMP3"
"s_008um_00255_00164-1","TIMP3"
"s_008um_00315_00153-1","TIMP3"
