"","Feature","rho","p-value","FDR"
"270","SAA2",0.85,"1.01e-17","2.02e-14"
"940","NNMT",0.81,"6.97e-15","6.96e-12"
"1743","LAMTOR5",-0.8,"2.24e-14","1.49e-11"
"210","PPDPF",-0.8,"3.09e-14","1.54e-11"
"1895","PLA1A",-0.79,"3.97e-14","1.59e-11"
"217","LTF",0.78,"3.12e-13","1.04e-10"
"625","FTL",-0.77,"6.5e-13","1.86e-10"
"480","NME4",-0.75,"3.24e-12","8.09e-10"
"285","CFB",0.75,"4.18e-12","8.50e-10"
"1172","ZNF761",-0.75,"4.26e-12","8.50e-10"
"102","RDH11",-0.74,"1.56e-11","2.84e-09"
"128","KLK3",-0.73,"2.93e-11","4.88e-09"
"950","SELENOH",-0.73,"3.93e-11","6.04e-09"
"1957","MTG1",-0.73,"4.79e-11","6.48e-09"
"677","SAA1",0.73,"4.86e-11","6.48e-09"
"263","SLC30A4",-0.72,"9.09e-11","1.14e-08"
"3","MARCKSL1",-0.72,"1.13e-10","1.33e-08"
"889","KIF5C",-0.71,"1.58e-10","1.75e-08"
"28","GPR160",-0.71,"2.04e-10","2.14e-08"
"1539","SCD",-0.71,"2.69e-10","2.69e-08"
"617","AGR2",-0.71,"2.97e-10","2.83e-08"
"730","AZGP1",0.7,"4.24e-10","3.85e-08"
"129","KLK2",-0.7,"6.02e-10","5.23e-08"
"329","UQCRH",-0.7,"6.35e-10","5.29e-08"
"252","SOD2",0.69,"7.65e-10","6.11e-08"
"227","DEGS1",-0.69,"9.32e-10","7.16e-08"
"959","COLEC12",-0.69,"1.01e-09","7.28e-08"
"592","SEC61A1",-0.69,"1.02e-09","7.28e-08"
"70","CEBPD",0.69,"1.1e-09","7.60e-08"
"1309","TXN",-0.69,"1.18e-09","7.84e-08"
