"","da123...1.","sublayer1","sublayer3","sublayer5","L5vsL1_pvalue","L5vsL1_FDR","L5vsL3_pvalue","L5vsL3_FDR"
"2","MBP, median [95%CI]","4.041 [0 7.601]","4.739 [0 7.962]","5.355 [0 8.197]","2.11e-89"," 7.03e-87","2.08e-21","1.38e-18"
"95","TUBA1B, median [95%CI]","5.985 [0 8.279]","6.79 [3.655 8.637]","7.168 [4.623 8.748]","2.32e-174","4.64e-171","4.3e-25","4.30e-22"
"421","SCN1B, median [95%CI]","0 [0 6.613]","2.75 [0 6.861]","3.408 [0 7.1]","6.42e-98"," 3.21e-95","3.23e-18","1.62e-15"
"680","NEFH, median [95%CI]","0 [0 5.127]","0 [0 5.668]","0 [0 6.375]","7.82e-117","5.21e-114","7.28e-33","1.46e-29"
"1387","VAMP1, median [95%CI]","0 [0 5.132]","0 [0 5.162]","0 [0 5.868]","3.15e-86"," 8.99e-84","3.91e-17","1.56e-14"
"128","NEFL, median [95%CI]","3.952 [0 7.347]","5.294 [0 8.133]","5.802 [0 8.287]","9.52e-153","9.52e-150","1.67e-13","5.57e-11"
"84","QDPR, median [95%CI]","0 [0 6.81]","1.875 [0 7.114]","3.018 [0 7.028]","2.05e-50"," 2.93e-48","5.33e-13","1.52e-10"
"485","SPOCK1, median [95%CI]","0 [0 5.933]","0 [0 6.135]","0 [0 6.061]","1.11e-49"," 1.39e-47","9.66e-13","2.41e-10"
"6","CNP, median [95%CI]","0 [0 6.102]","0 [0 5.855]","2.431 [0 6.099]","1.49e-25"," 5.74e-24","1.83e-12","4.08e-10"
"1231","RORB, median [95%CI]","0 [0 5.183]","0 [0 5.14]","0 [0 5.371]","2.49e-53"," 3.83e-51","2.83e-12","5.66e-10"
"736","LGALS1, median [95%CI]","2.435 [0 6.562]","3.337 [0 6.876]","3.759 [0 7.024]","5.43e-79"," 1.09e-76","5.41e-12","9.85e-10"
"24","BCAS1, median [95%CI]","0 [0 5.757]","0 [0 5.408]","0 [0 5.166]","4.92e-22"," 1.20e-20","1.37e-11","2.29e-09"
"61","KRT19, median [95%CI]","0 [0 6.186]","0 [0 6.259]","2.099 [0 6.464]","3.02e-31"," 1.72e-29","9.91e-11","1.52e-08"
"886","PVALB, median [95%CI]","0 [0 4.974]","0 [0 5.337]","0 [0 6.136]","3.7e-36"," 3.08e-34","1.46e-10","2.08e-08"
"1","PLP1, median [95%CI]","2.535 [0 6.805]","3.057 [0 7.045]","3.392 [0 7.301]","8.88e-48"," 1.04e-45","2.38e-10","3.17e-08"
"93","TMSB10, median [95%CI]","6.67 [3.407 8.722]","7.06 [4.488 8.871]","7.263 [5.166 8.852]","5.21e-65"," 9.47e-63","2.98e-10","3.72e-08"
"76","EDIL3, median [95%CI]","0 [0 5.273]","0 [0 4.882]","0 [0 4.934]","2.57e-19"," 4.63e-18","3.42e-10","4.02e-08"
