"","Feature   ","rho   ","p-value   ","FDR   "
"529","LCN2",-0.88,"6.92e-21","6.94e-18"
"403","SOD2",-0.81,"3.83e-15","1.92e-12"
"473","CEBPD",-0.81,"5.75e-15","1.92e-12"
"260","CXCL3",-0.77,"7.34e-13","1.67e-10"
"983","ID1",-0.77,"8.35e-13","1.67e-10"
"804","IL32",-0.75,"4.17e-12","6.97e-10"
"994","PI3",-0.74,"1.34e-11","1.91e-09"
"186","CCL20",-0.74,"1.73e-11","2.17e-09"
"259","CXCL1",-0.74,"2.16e-11","2.40e-09"
"359","TRIM31",-0.73,"2.89e-11","2.90e-09"
"392","NCOA7",-0.73,"3.5e-11","3.19e-09"
"261","CXCL2",-0.73,"4.02e-11","3.36e-09"
"134","HK2",-0.71,"1.76e-10","1.28e-08"
"743","GPX2",-0.71,"1.78e-10","1.28e-08"
"862","NOS2",-0.7,"4.64e-10","3.06e-08"
"377","TNFRSF21",-0.7,"4.89e-10","3.06e-08"
"73","MUC1",-0.69,"8.34e-10","4.92e-08"
"497","TRIB1",-0.69,"1.16e-09","6.49e-08"
"365","CFB",-0.68,"1.87e-09","9.85e-08"
"246","S100P",-0.68,"1.99e-09","9.97e-08"
"324","SPINK1",-0.67,"4.15e-09","1.98e-07"
"756","CKB",-0.67,"6.05e-09","2.76e-07"
"957","CEACAM1",-0.66,"7.66e-09","3.34e-07"
"739","ERO1A",-0.66,"9.16e-09","3.83e-07"
"746","FOS",-0.65,"2.38e-08","9.50e-07"
"263","AREG",-0.65,"2.47e-08","9.50e-07"
"350","TDP2",-0.65,"2.56e-08","9.50e-07"
"754","WARS",-0.64,"3.7e-08","1.33e-06"
"522","BSPRY",-0.64,"4.82e-08","1.67e-06"
"65","SELENBP1",-0.63,"6.07e-08","2.03e-06"
"503","C8orf33",-0.62,"9.88e-08","3.14e-06"
"532","ASS1",-0.62,"1e-07","3.14e-06"
"223","MUC13",-0.61,"1.94e-07","5.89e-06"
"911","SOCS3",-0.61,"2.37e-07","7.00e-06"
"121","LRATD1",-0.6,"3.23e-07","9.25e-06"
"752","VRK1",-0.6,"3.52e-07","9.79e-06"
"916","SLC16A3",-0.6,"4.75e-07","1.29e-05"
"118","ID2",-0.59,"5.78e-07","1.51e-05"
"955","CEACAM7",-0.59,"5.86e-07","1.51e-05"
"521","KLF4",-0.59,"6.17e-07","1.55e-05"
"947","FXYD3",-0.59,"6.53e-07","1.60e-05"
"268","PLAC8",-0.59,"7.63e-07","1.82e-05"
"368","TAP1",-0.59,"8.1e-07","1.89e-05"
"384","PRDM1",-0.59,"8.66e-07","1.97e-05"
"382","ME1",-0.58,"1.12e-06","2.49e-05"
"273","SLC39A8",-0.57,"1.55e-06","3.39e-05"
"679","NR4A1",-0.57,"1.68e-06","3.58e-05"
"84","ATP1B1",-0.57,"1.86e-06","3.89e-05"
"372","C6orf132",-0.57,"2.14e-06","4.38e-05"
"1015","BACE2",-0.57,"2.19e-06","4.39e-05"
"440","NAMPT",-0.57,"2.29e-06","4.51e-05"
"101","CD55",-0.56,"3.48e-06","6.71e-05"
"903","JPT1",-0.56,"3.78e-06","7.15e-05"
"913","ALYREF",-0.55,"4.2e-06","7.81e-05"
"262","EREG",-0.55,"5.02e-06","9.16e-05"
"780","C2CD4A",-0.54,"6.75e-06","1.21e-04"
"480","LACTB2",-0.54,"6.91e-06","1.22e-04"
"124","XDH",-0.54,"7.11e-06","1.23e-04"
"1007","STMN3",-0.54,"7.28e-06","1.24e-04"
"915","FASN",-0.54,"7.41e-06","1.24e-04"
"450","AHCYL2",-0.54,"7.61e-06","1.25e-04"
"579","DMBT1",-0.54,"1.03e-05","1.67e-04"
"506","LURAP1L",-0.54,"1.05e-05","1.67e-04"
"998","DNTTIP1",-0.53,"1.07e-05","1.67e-04"
"177","FN1",0.53,"1.18e-05","1.82e-04"
"215","HHLA2",-0.53,"1.34e-05","2.03e-04"
"232","TM4SF1",-0.53,"1.47e-05","2.21e-04"
"615","PLAAT3",-0.52,"1.69e-05","2.50e-04"
"970","TRIB3",-0.52,"1.76e-05","2.56e-04"
"891","NME1",-0.52,"1.79e-05","2.56e-04"
"846","SLC7A5",-0.52,"2.33e-05","3.30e-04"
"290","SORBS2",0.52,"2.44e-05","3.40e-04"
"499","NDRG1",-0.51,"2.73e-05","3.75e-04"
"4","ERRFI1",-0.51,"2.77e-05","3.75e-04"
"772","SORD",-0.51,"2.93e-05","3.92e-04"
"807","SOCS1",-0.51,"3.11e-05","4.10e-04"
"476","SDCBP",-0.5,"4.03e-05","5.25e-04"
"773","DUOX2",-0.5,"4.18e-05","5.37e-04"
"974","CDC25B",-0.5,"4.62e-05","5.86e-04"
"67","S100A9",-0.5,"4.67e-05","5.86e-04"
